Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),57,Completion frequency-posted routes %,
2005,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),3,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),57923,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,18879,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,25029,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),0,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,131022,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),0,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,141000,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,3222,Completion frequency-posted routes %,Structure fires
2005,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),71,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2005,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,225857,Completion frequency-posted routes %,EMT fire resources
2005,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,55916,Completion frequency-posted routes %,Paramedic fire resources
2005,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,91001,Completion frequency-posted routes %,EMT ambulances
2005,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,175423,Completion frequency-posted routes %,Paramedic ambulances
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),0,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,490,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,28808,Completion frequency-posted routes %,Rescues and others
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,5464,Completion frequency-posted routes %,Hazardous conditions
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),131293,Completion frequency-posted routes %,Fires (includes automatic alarms)
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),87,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2005,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,6303,Completion frequency-posted routes %,Non structure fires
2005,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,0,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,443990,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,24776,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,51643,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),0,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,175666,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,67977,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,151552,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),1752555,Completion frequency-posted routes %,
2005,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,0,Completion frequency-posted routes %,
2005,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",21441,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes %,97,Completion frequency-posted routes %,
2005,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Response time to clear illegal dumping (days)",0,Completion frequency-posted routes %,
2005,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",180000,Completion frequency-posted routes %,
2005,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",4,Completion frequency-posted routes %,
2005,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",18,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Access ramps constructed,1200,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Sidewalks repaired (miles),52,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Bus pads constructed,100,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Streets resurfaced (miles),135,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed in City's urban forest,0,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed - City forces (broadhead),40000,Completion frequency-posted routes %,
2005,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees planted - City forces & Non-profits (MTLA),4200,Completion frequency-posted routes %,
